Pb,,Sb,,Bi,
Temperature (C),Resistivity x10^-6 ? cm,Temperature (C),Resistivity x10^-6 ? cm,Temperature (C),Resistivity x10^-6 ? cm
385.6657335,99.99223425,95.64172943,64.12176107,98.48277689,145.3087405
401.920385,100.6554724,146.7740413,80.02189501,120.371273,157.1364201
416.5492443,101.317075,198.7143426,96.89316995,130.8694095,170.893297
436.0538448,102.3070255,249.8646462,109.2354521,148.7073275,179.9676386
453.9375598,102.3250172,274.2090045,117.669454,197.2962723,216.5655475
474.2517851,103.9626676,294.5314079,117.6898991,209.4128408,231.7795447
493.75475,105.2760591,302.6391064,121.902811,214.2247934,244.7220943
514.8900495,105.297322,331.0757507,124.8424037,229.6174806,255.0877467
537.6445989,106.6139848,348.925118,131.6526578,254.6831412,281.6352662
564.463629,107.9347365,380.5994442,137.3447708,262.772848,289.4060299
588.8439707,109.2530349,398.4561717,142.6995401,265.9949916,295.2312403
613.2243124,110.5713333,451.2878782,144.0464616,272.4834403,298.1487524
635.9870398,110.2707907,499.2160381,150.5635333,272.4997963,134.1633129
661.1819132,111.2664658,553.6555452,155.4699422,302.5769534,134.1935716
683.9331914,113.2300107,578.8340625,159.7000279,332.6442968,136.1644767
707.4990013,114.8709323,591.8256803,162.6240824,398.4856126,136.8776009
727.8181335,115.5382595,603.2160398,160.6948852,448.8819019,137.5751868
752.1886616,118.7972043,615.3980326,162.9712398,478.1199931,142.7796848
761.9336016,120.7476643,631.6543198,163.3110369,499.2700131,139.8899781
777.3769926,121.0866437,634.3277176,116.899697,531.7580533,145.4211884
787.128475,121.7433394,651.4009899,116.4317092,559.3932507,146.0958758
,,666.8509233,115.4769243,603.3027269,143.5525086
,,672.521569,119.3639417,626.0376491,148.7504642
,,684.7199178,118.4058856,648.7889273,150.7140091
,,700.1714869,117.1276595,682.1193045,150.4240979
,,711.5422191,119.0797552,701.6468034,146.8858734
,,726.1759852,118.7710346,733.3252186,151.7693838
,,742.4322723,119.1108317,749.9928606,151.1392666
,,753.8193607,117.8285167,778.0345061,151.814363
,,765.2048134,116.8696427,799.969617,154.4239722
,,780.64984,116.885181,,
,,800.1495336,118.8454547,,
