RMSE,,LOOCV,,GCV,,MLE,
?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error
0.001297009,0.000564282,0.001063422,0.051862619,0.001101106,0.001151366,0.001305396,0.004233385
0.002209275,0.000564282,0.00126678,0.030840648,0.001344618,0.000682909,0.002198209,0.003803307
0.003409991,0.000564282,0.001509359,0.016861864,0.001952831,0.000444331,0.003701906,0.003329258
0.006770686,0.000563128,0.001732622,0.009403629,0.003287981,0.000421468,0.006234445,0.002873935
0.010805234,0.000564282,0.002038687,0.005413844,0.005534489,0.000442674,0.010499835,0.002454292
0.018190242,0.000564282,0.002490174,0.00291861,0.009318678,0.000415455,0.017684105,0.002066897
0.030622648,0.000564282,0.003041621,0.001578755,0.015687675,0.000415455,0.0297836,0.001750609
0.048452802,0.000563813,0.00420569,0.000854941,0.026409664,0.000415455,0.050154393,0.001565798
0.093496776,0.000549457,0.00691127,0.000664542,0.044459765,0.000415455,0.084430103,0.001587788
0.157401245,0.000545985,0.011632965,0.000707587,0.074846491,0.000415455,0.142048905,0.001999876
0.264984466,0.000542191,0.019583699,0.000707587,0.126001502,0.000415455,0.238846218,0.003162626
0.446114594,0.000531977,0.032968486,0.000707587,0.212119212,0.000415455,0.386838086,0.005517203
0.751067497,0.000518987,0.055499557,0.000716161,0.357095426,0.000415455,0.596235341,0.009450382
1.264221342,0.000547024,0.093431292,0.000717069,0.601157915,0.000415455,0.918947057,0.016411569
2.126385361,0.000766422,0.157288378,0.000717069,1.012028753,0.000415455,1.470015436,0.028471023
3.277120565,0.001357234,0.264785179,0.000721629,1.703695836,0.000417303,2.440804059,0.048443078
4.573791866,0.00236166,0.445709188,0.000751508,2.868046584,0.000421023,4.104207741,0.075547459
6.305032796,0.004063685,0.75016093,0.000821252,4.827944045,0.000431561,6.902945209,0.107130315
8.90934441,0.007141897,1.262234158,0.00099453,8.124357232,0.000504071,11.61251948,0.140788901
12.9054492,0.012580999,2.122710086,0.001478967,12.21764622,0.000803868,19.5392368,0.171144151
18.69527879,0.021560979,3.35394902,0.002520813,15.43989934,0.001449268,32.88299209,0.193540136
26.09253822,0.037504012,4.919212442,0.004341,17.89118789,0.002526272,55.34763038,0.206952501
35.0850184,0.066477897,7.038159292,0.007501526,20.47698287,0.004335225,82.30586939,0.209566422
47.18656614,0.108789882,9.945191972,0.013233794,23.43250483,0.007937417,,
,,14.05329351,0.023125417,26.81244821,0.014984559,,
,,19.61318169,0.040736998,31.06990668,0.025920556,,
,,27.3725797,0.071902857,36.44895233,0.046605609,,
,,41.66479735,0.128571551,44.93483962,0.08308363,,
,,69.20884441,0.186671799,65.89245341,0.154343201,,
,,,,89.78814554,0.194123779,,
