QMD,,exp,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
10000,0.0456942,17290.64039,0.291739895,1821.241055,0.057188869,10007.07588,0.144991213,10007.07588,-0.052242315,19914.65733,0.286822064,14758.98799,0.291254278,17181.53141,0.335576419,17305.76441,0.246932137
14975.36946,0.544815466,17684.72906,0.351493849,3889.727415,0.120757796,15007.45398,0.645831406,15007.45398,0.446381772,20473.70582,0.348873061,15069.57048,0.348873061,17740.5799,0.406491845,17802.6964,0.286822064
17980.29557,0.773286467,18620.68966,0.400702988,5961.604736,0.184387212,18051.16239,0.871874326,17989.04589,0.674640798,21405.45329,0.402059631,15877.08495,0.402059631,18610.21087,0.459678414,18610.21087,0.340008633
24975.36946,1.121265378,19458.12808,0.44288225,8046.622031,0.248949168,25008.21018,1.31952795,24977.15193,0.925060895,22399.31726,0.437517343,16622.48293,0.441949558,19541.95834,0.499568341,19479.84185,0.384330774
30000,1.311072056,20344.82759,0.467486819,10101.96842,0.311918245,29977.53003,1.510113156,30008.58828,1.10899778,23455.29773,0.468542842,17243.64791,0.468542842,20473.70582,0.526161626,20349.47282,0.410924059
,,21133.00493,0.506151142,12147.01291,0.375129279,,,,,24387.0452,0.504000555,18113.27889,0.508432769,21343.33679,0.574915981,21219.10379,0.441949558
,,22118.2266,0.548330404,14194.43477,0.437795911,,,,,25318.79267,0.548322696,18796.56037,0.548322696,21964.50177,0.619238122,22088.73477,0.481839484
,,22512.31527,0.597539543,16330.74035,0.503744074,,,,,25939.95765,0.597077051,19169.25936,0.601509265,22585.66675,0.681289119,22585.66675,0.521729411
,,23399.01478,0.660808436,18381.0003,0.566622418,,,,,26933.82162,0.659128049,19914.65733,0.663560263,23455.29773,0.734475688,23393.18123,0.577132088
,,24285.71429,0.688927944,20487.63497,0.631723733,,,,,27927.68559,0.690153547,20722.17181,0.685721333,24324.9287,0.769933401,24324.9287,0.610373693
,,25172.41379,0.759226714,22523.05946,0.694829693,,,,,28983.66606,0.761068973,21467.56979,0.765501187,25132.44318,0.858577683,25132.44318,0.659128049
,,26009.85222,0.801405975,24546.61558,0.75490596,,,,,29977.53003,0.796526686,22150.85127,0.796526686,26002.07415,0.894035396,26064.19065,0.70345019
,,,,26535.20242,0.815673316,,,,,,,,,,,,
,,,,28733.60498,0.884809824,,,,,,,,,,,,
,,,,30738.51082,0.946911893,,,,,,,,,,,,
,,,,32793.15075,1.009901133,,,,,,,,,,,,
,,,,34857.25712,1.073671691,,,,,,,,,,,,
,,,,36963.89179,1.138349583,,,,,,,,,,,,
,,,,38984.48082,1.200592792,,,,,,,,,,,,
,,,,41073.87811,1.265074096,,,,,,,,,,,,
,,,,43111.70453,1.327831462,,,,,,,,,,,,
,,,,45229.7837,1.393048715,,,,,,,,,,,,
,,,,47436.73431,1.466803135,,,,,,,,,,,,
