QMD,,exp.,,SQAA,,SCAALP,,Plamsa,,COMPTRA,
X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m)
9962.810854,0.000242843,13755.44223,6.89111E-05,10582.75004,0.000384682,10152.7739,0.000121066,10592.5814,6.8033E-05,10466.13588,3.85522E-05
14976.12288,7.16981E-05,14180.70918,6.1876E-05,11744.26091,0.000270787,11236.82556,9.41779E-05,11945.99039,5.89009E-05,11996.01821,2.94399E-05
19984.44049,3.34554E-05,14726.96043,5.65082E-05,12905.77388,0.000190576,12477.52226,7.03898E-05,13416.67734,5.04301E-05,13399.82958,2.47495E-05
24988.99309,2.20431E-05,14969.79366,5.40021E-05,14067.27844,0.000134229,13712.98493,5.5267E-05,14752.93012,4.38067E-05,14712.46356,2.19243E-05
29992.62364,1.58044E-05,15616.58726,5.13086E-05,15268.20131,9.89894E-05,14924.35159,3.98669E-05,15994.63431,3.87954E-05,15999.88495,1.98029E-05
,,16021.28872,4.76623E-05,16507.49803,8.41141E-05,16052.23003,3.51706E-05,17273.96509,3.42579E-05,17282.66814,1.82221E-05
,,16365.09661,4.55469E-05,17746.71008,7.20309E-05,17236.90919,3.11164E-05,18627.22703,3.00619E-05,18565.37503,1.68851E-05
,,16850.269,4.35232E-05,18985.92016,6.16946E-05,18475.74588,2.7579E-05,19864.84151,2.78844E-05,19779.16524,1.58855E-05
,,17315.30823,4.1355E-05,20225.15387,5.27272E-05,19714.46619,2.47058E-05,21166.86418,2.45466E-05,21057.23564,1.49935E-05
,,17578.7687,3.79855E-05,21464.44075,4.48442E-05,20952.74553,2.30447E-05,22519.35903,2.25662E-05,22295.37063,1.41717E-05
,,17820.79907,3.90725E-05,22703.72565,3.81467E-05,22191.20443,2.11445E-05,23823.88165,2.08375E-05,23573.30369,1.35454E-05
,,18184.43134,3.86277E-05,23943.01252,3.24436E-05,23429.46347,1.97595E-05,25122.14196,1.90172E-05,24851.17571,1.30194E-05
,,18346.29957,3.75478E-05,25182.17929,2.78985E-05,24667.72447,1.84619E-05,26435.79471,1.8152E-05,26074.8246,1.25666E-05
,,18547.81657,3.90625E-05,26420.92861,2.49257E-05,25905.8063,1.75352E-05,27788.06284,1.70379E-05,27386.85285,1.21462E-05
,,18770.51663,3.71196E-05,27659.6425,2.23421E-05,27143.81724,1.67635E-05,28999.36041,1.61046E-05,28644.58931,1.18639E-05
,,18771.31948,3.44866E-05,28898.35835,2.00227E-05,28381.83409,1.60171E-05,30071.4881,1.5565E-05,29922.26295,1.16124E-05
,,18973.02175,3.52737E-05,30136.97379,1.811E-05,29619.88638,1.52543E-05,31390.06414,1.47169E-05,31199.86028,1.1446E-05
,,19113.8922,3.69057E-05,31375.22298,1.69391E-05,30857.84022,1.46595E-05,32727.26028,1.40821E-05,32477.43473,1.13057E-05
,,19215.42268,3.50716E-05,32613.43083,1.5904E-05,32066.96405,1.42014E-05,34000.41585,1.35335E-05,33754.91762,1.12611E-05
,,19296.38767,3.44802E-05,33851.63867,1.49322E-05,33402.00734,1.37572E-05,35408.2861,1.29167E-05,35032.44629,1.11698E-05
,,19720.72825,3.37033E-05,35089.84848,1.40173E-05,35093.44219,1.32228E-05,36737.43977,1.23671E-05,36309.92155,1.11336E-05
,,19943.05776,3.31333E-05,36328.0071,1.32202E-05,36328.31624,1.2851E-05,38040.05914,1.18488E-05,37587.36629,1.11286E-05
,,20246.10523,3.27569E-05,37701.13718,1.21957E-05,37566.148,1.24888E-05,39263.74546,1.13976E-05,39222.64346,1.15358E-05
,,20488.69143,3.20209E-05,38858.51313,1.15678E-05,38803.99945,1.2115E-05,,,39822.48328,1.1547E-05
,,,,39743.15602,1.1017E-05,39682.45097,1.18823E-05,,,,
