Material,Conductivity mho/m ,Resistivity ohm-m
Silver,6.3 x 10^7,
Copper,5.85 x 10^7 ,
Gold, 4.25 x 10^7 ,
Alumninum,3.45 x 10^7,
AI-1.2% Mn alloy,2.95 x 10^7,
Sodium,2.1 x 10^7,
Zinc,,62.0 x 10^-7
"Zirconium, grade 702",,3.97 x 10^-7
Solder (60Sn-40Pb),,1.50 x 10^-7
Tin,,1.11 x 10^-7
Lead,,2.06 x 10^-7
"Stainless steal, 301",0.14 x 10^7,
"Nichrome (80% Ni, 20% Cr)",0.093 x 10^7,
"Carbon, graphite",10^5,
Germanium,2.2,
Silicon (intrinsic),4.3 x 10^-4,
"Carbon, diamond (natural)",< 10^-14,
Molybdenum,,5.2 x 10^-8
Tantalum,,13.5 x 10^-8
Tungsten,, 5.3 x 10^-8
Platinum,,10.60 x 10^-8
Titanium,,4.2 x 10^-7
Titanium alloy Ti-6Al-4 V,, 17.1 x 10^-7
Titanium alloy Ti-5Al-2.5Sn,, 15.7 x 10^-7
"Carbon, diamond (synthetic)",,1.5 x 10^-2
"Steel alloy, A36, 1040, 1020",,1.6 x 10^-7
"Steel alloy, 4140",, 2.2 x 10^-7
Steel alloy 4340,,2.48  x 10^-7
"Stainless steel, 304",, 7.2 x 10^-7
"Stainless steel, 316",, 7.4 x 10^-7
"Stainless steel, 405, 440A",,6.0  x 10^-7
"Stainless steel, 17-7PH",, 8.3 x 10^-7
"Iron, gray, G1800",, 15 x 10^-7
"Iron, gray, G3000",, 9.5 x 10^-7
"Iron, gray, G4000",, 8.5 x 10^-7
"Iron, 60-40-18",, 5.5 x 10^-7
"Iron, 80-55-06, 120-90-02",, 6.2 x 10^-7
Aluminum alloy 1100,, 2.9 x 10^-8
"Aluminum alloy, 2024",, 3.4 x 10^-8
"Aluminum alloy, 6061",, 3.7 x 10^-8
"Aluminum alloy, 7075",, 5.22 x 10^-8
"Aluminum alloy, 356.0",, 4.42 x 10^-8
"Copper alloy, C11000",, 1.72 x 10^-8
"Copper alloy, C172000 (beryllium-copper)",, 5.7 x 10^-8
"Copper alloy, C26000",, 6.2 x 10^-8
"Copper alloy, C36000",, 6.6 x 10^-8
"Copper alloy, C71500 (copper-30% nickel)",, 37.5 x 10^-8
"Copper alloy, C93200",, 14.4 x 10^-8
"Magnesium alloy, AZ31B",, 9.2 x 10^-8
"Magnesium alloy, AZ91D",, 17 x 10^-7
Nickel 200,, 0.95 x 10^-7
Inconel 625,, 12.9 x 10^-7
Monel 400 ,, 5.47 x 10^-7
Invar,, 8.2 x 10^-7
Haynes alloy 25,, 8.9x 10^-7
Kovar,,
Mercury,1.04 x 10^6,
,,
Al2O3,10^-10,
Al6Si2O13 (mullite) ,,> 10^12
AIN,,2 x 10^9 - 10^11
B4C,,3 x 10^-3 - 8 x 10^-3
BeO ,10^-12 - 10^-15 ,
BN ,,1.7 x 10^11
CrB2 ,,21 x 10^-8
"E-glass, fiber ",,4 x 10^14
GaAs (intrinsic) ,,10^6
"Glass, soda-lime ",,10^10-10^11
"Glass, window ",<10^-10,
"Glass, silica ",<10^-16,
Glass-ceramic (Pyroceram),,2 x 10^14
HfB2,,10^-7
HfC ,,6 x 10^-7
InSb,17 x 10^3,
Mg2Al4Si5O18 (Cordierite),,10^12
MgO,,1.3 x 10^13
Mica,10^-11 - 10^-15,
MoSi2,,21.5 x 10^-8
PbS,38.4,
Si3N4,,>10^12
SiC (highly structurally-dependent),,1.0-10^10
"SiO2, fused",,>10^18
TaB2,,68 x 10^-8
TaC,,25 x 10^-8
TiB2,,6.6 x 10^-8 - 28.4 x 10^-8
TiC,,.3 x 10^-2 - 0.8 x 10^-2 
TiC ,0.17 x 10^7,
Tin,,11 x 10^-8 - 13 x 10^-7
TiO2,,> 10^11
WC,,5 x 10^-7
WSi2,,33.4 x 10^-8 -54.9 x 10^-8
ZrB2,,9.2 x 10^-8
ZrC,,61 x 10^-8 - 64 x 10^-8 
"ZrO2, 3%Y2O3",,10^10
"ZrO2, monoclinic ",,> 10^11
,,
Polymethylmetharcrylate,<10^-12,
Polyethylene,<10^-14,
Polystyrene,<10^-14,
Polytetrafluroethylene,<10^-14,
Phenol-formaldehyde,10^-7 - 10^-11,
"Polyethylene, low and high density",,10^15 - 5 x 10^16
"Polyethylene, ultrahigh molecular weight",,>5 x 10^14
Polypropylene,,>10^14
"Rubber, nitrile",,3.5 x 10^8
"Rubber, styrene butadiene",,6 x 10^11
"Rubber, silicone",,10^13
Epoxy,,10^10 - 10^13
Polyamide (Nylon 66),,10^12 - 10^13
Polybutylene terephthalate ,,4 x 10^14
Polycarbonate,,2 x 10^14
Polyester,,10^13
Polyetheretherketone,,6 x 10^14
Polyethylene terephthalate,,10^12
Polyvinyl chloride,,>10^14
Cellulose acetate,,10^8 - 10^13
Polyimide,,4 x 10^13
Polyarysulfone,,3.2 x 10^14 - 7.71 x 10^14
,,
Wood,,10^14 - 10^16
"Concrete, dry",,10^9
"Polymide, glass-fiber-reinforced",,9.2 x 10^13
"Nylon, glass-fiber-reinforced",,2.6 x 10^13 - 5.5 x 10^13
"Polyester, glass-fiber-reinforced",,3.2 x 10^14 - 3.3 x 10^14
"Phenylene oxide, glass-fiber-reinforced",,10^15
"Polyphenylene sulfide, 40% glass-fiber-reinforced",,4.5 x 10^12
"Polystyrene, 30% glass-fiber-reinforced",,3.6 x 10^14
"Polyacetal, 2-% glass-fiber-reinforced",,5 x 10^12 
,,
"Cortical bone, dry",10^-9,
"Cortical bone, wet (10% moisture)",10^-3,3 - 4 x 10^3
"Tissues, soft",,5 -> 15
