Pottlacher et.al,,Smithells Metals Reference Book,,CINDAS Report NBS,,Present work with linear fit,
"Temperature, K",Resistivity 10^-8 ? m,"Temperature, K",Resistivity 10^-8 ? m,"Temperature, K",Resistivity 10^-8 ? m,"Temperature, K",Resistivity 10^-8 ? m
1356.410256,21.59356725,1356.410256,20,1355.944056,21.00877193,1293.939394,20.62865497
1672.960373,24.10087719,1373.193473,20.20467836,1699.5338,24.4005848,1303.263403,20.5994152
,,1472.960373,21.20614035,,,1313.053613,20.75292398
,,1672.960373,23.30409357,,,1322.843823,20.84064327
,,,,,,1333.100233,20.96491228
,,,,,,1342.890443,21.09649123
,,,,,,1353.613054,21.12573099
,,,,,,1362.937063,21.22807018
,,,,,,1373.193473,21.32309942
