Copper,,Aluminum,
log 10 ne(cm^-3),log 10 ?(S/m),log 10 ne(cm^-3),log 10 ?(S/m)
20.36905928,4.250048868,20.52311235,3.999991712
20.41929398,4.308097851,20.56664909,4.053575389
20.40254908,4.245583562,20.61018583,3.964269262
20.43938786,4.236652949,20.62358175,4.026783551
20.4661797,4.2723754,20.65372257,4.07590192
20.47622664,4.245583562,20.66711848,4.017852938
20.48627358,4.245583562,20.70060828,4.062506001
20.50301848,4.232187643,20.71735318,4.04017947
20.50301848,4.232187643,20.62358175,4.178603967
20.52646133,4.245583562,20.63697767,4.151812128
20.53985725,4.232187643,20.70395726,4.160742741
20.57334705,4.22325703,20.74414502,4.147346822
20.55995113,4.294701932,20.74414502,4.120554984
20.65372257,4.281306013,20.77093686,4.232187643
20.68721236,4.299167238,20.7307491,4.191999886
20.81112461,4.187534579,20.80777563,4.196465192
20.83121849,4.191999886,20.86805727,4.12502029
20.88480217,4.209861111,20.92498993,4.102693759
20.95847972,4.200930498,20.89484911,4.035714163
20.98862054,4.218791724,20.92498993,3.999991712
20.99196952,4.214326417,21.71200017,4.388473365
21.0455532,4.17413866,21.76223487,4.428661123
21.07569402,4.142881516,21.80242263,4.446522348
21.10248585,4.138416209,,
21.14602259,4.142881516,,
21.16611647,4.160742741,,
21.18286137,4.17413866,,
21.18286137,4.178603967,,
21.21300219,4.183069273,,
21.243143,4.187534579,,
21.2933777,4.22325703,,
21.33021648,4.183069273,,
21.44408179,4.232187643,,
21.40389403,4.236652949,,
21.37710219,4.214326417,,
21.36370628,4.218791724,,
21.32351852,4.232187643,,
21.32016954,4.236652949,,
21.25318994,4.232187643,,
21.22639811,4.209861111,,
21.19290831,4.209861111,,
21.14937157,4.209861111,,
21.09913687,4.205395805,,
21.04220422,4.196465192,,
21.03215728,4.196465192,,
20.89484911,4.330424383,,
21.68185935,4.348285608,,
21.74214099,4.392938672,,
21.75218793,4.406334591,,
21.76893283,4.406334591,,
21.83591242,4.446522348,,
21.86940222,4.486710105,,
